DrinkThumb,Drink,Price,Ingredients
http://www.thecocktaildb.com/images/media/drink/vxtjbx1504817842.jpg,Space Odyssey,7.92,"151 proof rum,Malibu rum,Orange juice,Grenadine,Cherries,Pineapple juice"
http://www.thecocktaildb.com/images/media/drink/yxwrpp1441208697.jpg,English Rose Cocktail,5.20,"Apricot brandy,Gin,Grenadine,Lemon juice,Cherry,Dry Vermouth"
http://www.thecocktaildb.com/images/media/drink/anhof61504366173.jpg,Classic Old-Fashioned,7.14,"Bitters,Water,Bourbon,Orange,Maraschino cherry,Sugar"
http://www.thecocktaildb.com/images/media/drink/y39l941504884150.jpg,Frisco Sour,9.98,"Blended whiskey,Benedictine,Lime,Lemon,Lime,Lemon"
http://www.thecocktaildb.com/images/media/drink/kxlgbi1504366100.jpg,Boston Sour,7.76,"Blended whiskey,Lemon,Egg white,Lemon,Cherry,Powdered sugar"
http://www.thecocktaildb.com/images/media/drink/37vzv11504884831.jpg,Japanese Fizz,8.21,"Blended whiskey,Lemon,Port,Egg white,Carbonated water,Powdered sugar"
http://www.thecocktaildb.com/images/media/drink/qvvxwy1472406424.jpg,California Lemonade,9.13,"Blended whiskey,Lemon,Powdered sugar,Grenadine,Carbonated water,Lime"
http://www.thecocktaildb.com/images/media/drink/61wgch1504882795.jpg,New York Sour,6.53,"Blended whiskey,Lemon,Red wine,Lemon,Cherry,Sugar"
http://www.thecocktaildb.com/images/media/drink/u5yaxl1504350270.jpg,John Collins,8.38,"Bourbon,Lemon juice,Club soda,Maraschino cherry,Orange,Sugar"
http://www.thecocktaildb.com/images/media/drink/urpyqs1439907531.jpg,Mississippi Planters Punch,8.58,"Brandy,Light rum,Lemon,Powdered sugar,Carbonated water,Bourbon"
http://www.thecocktaildb.com/images/media/drink/wsyqry1479298485.jpg,Lone Tree Cooler,7.25,"Carbonated water,Gin,Powdered sugar,Orange spiral,Lemon peel,Dry Vermouth"
http://www.thecocktaildb.com/images/media/drink/tvtrrt1439906288.jpg,Singapore Sling,8.88,"Cherry brandy,Grenadine,Sweet and sour,Carbonated water,Cherry,Gin"
http://www.thecocktaildb.com/images/media/drink/p5r0tr1503564636.jpg,Gideon's Green Dinosaur,6.84,"Dark rum,Vodka,Tequila,Melon liqueur,Mountain Dew,Triple sec"
http://www.thecocktaildb.com/images/media/drink/4u0nbl1504352551.jpg,Tuxedo Cocktail,6.69,"Dry Vermouth,Gin,Anis,Orange bitters,Cherry,Maraschino liqueur"
http://www.thecocktaildb.com/images/media/drink/8kxbvq1504371462.jpg,Rose,8.96,"Dry Vermouth,Gin,Lemon juice,Grenadine,Powdered sugar,Apricot brandy"
http://www.thecocktaildb.com/images/media/drink/rz5aun1504389701.jpg,Brain Fart,8.55,"Everclear,Vodka,Surge,Lemon juice,Rum,Mountain Dew"
http://www.thecocktaildb.com/images/media/drink/hp41fi1504883656.jpg,Gin Smash,7.00,"Gin,Carbonated water,Mint,Orange,Cherry,Sugar"
http://www.thecocktaildb.com/images/media/drink/xrbhz61504883702.jpg,Gin Squirt,5.04,"Gin,Grenadine,Pineapple,Strawberries,Carbonated water,Powdered sugar"
http://www.thecocktaildb.com/images/media/drink/qystvv1439907682.jpg,Tom Collins,8.84,"Gin,Lemon juice,Club soda,Maraschino cherry,Orange,Sugar"
http://www.thecocktaildb.com/images/media/drink/qwxysv1478819943.jpg,Gin Daisy,6.82,"Gin,Lemon juice,Grenadine,Maraschino cherry,Orange,Sugar"
http://www.thecocktaildb.com/images/media/drink/20d63k1504885263.jpg,Lady Love Fizz,5.65,"Gin,Light cream,Lemon,Egg white,Carbonated water,Powdered sugar"
http://www.thecocktaildb.com/images/media/drink/qpvxsx1439906903.jpg,"French ""75""",7.31,"Gin,Sugar,Champagne,Orange,Maraschino cherry,Lemon juice"
http://www.thecocktaildb.com/images/media/drink/4qnyty1504368615.jpg,French 75,7.75,"Gin,Sugar,Champagne,Orange,Maraschino cherry,Lemon juice"
http://www.thecocktaildb.com/images/media/drink/vxypsq1441209971.jpg,Bluebird,9.24,"Gin,Triple sec,Bitters,Maraschino cherry,Lemon peel,Blue Curacao"
http://www.thecocktaildb.com/images/media/drink/sot8v41504884783.jpg,Irish Spring,9.53,"Irish whiskey,Peach brandy,Sweet and sour,Orange,Cherry,Orange juice"
http://www.thecocktaildb.com/images/media/drink/n3zfrh1493067412.jpg,Atomic Lokade,5.48,"Lemonade,Vodka,Triple sec,Sugar,Ice,Blue Curacao"
http://www.thecocktaildb.com/images/media/drink/otn2011504820649.jpg,Rum Old-fashioned,8.17,"Light rum,151 proof rum,Bitters,Water,Lime peel,Powdered sugar"
http://www.thecocktaildb.com/images/media/drink/vyrvxt1461919380.jpg,A Night In Old Mandalay,5.80,"Light rum,Añejo rum,Lemon juice,Ginger ale,Lemon peel,Orange juice"
http://www.thecocktaildb.com/images/media/drink/146f251504389814.jpg,Apricot Lady,6.65,"Light rum,Apricot brandy,Lemon juice,Egg white,Orange,Triple sec"
http://www.thecocktaildb.com/images/media/drink/qwvwqr1441207763.jpg,Chicago Fizz,7.53,"Light rum,Port,Powdered sugar,Egg white,Carbonated water,Lemon"
http://www.thecocktaildb.com/images/media/drink/k1xatq1504389300.jpg,Banana Daiquiri,9.62,"Light rum,Triple sec,Lime juice,Sugar,Cherry,Banana"
http://www.thecocktaildb.com/images/media/drink/7oyrj91504884412.jpg,Frozen Daiquiri,6.30,"Light rum,Triple sec,Sugar,Cherry,Ice,Lime juice"
http://www.thecocktaildb.com/images/media/drink/vtpsvr1472811976.jpg,Acapulco,7.24,"Light rum,Triple sec,Sugar,Egg white,Mint,Lime juice"
http://www.thecocktaildb.com/images/media/drink/xrvxpp1441249280.jpg,Sangria #1,7.60,"Red wine,Sugar,Lemon juice,Cloves,Cinnamon,Orange juice"
http://www.thecocktaildb.com/images/media/drink/vvpxwy1439907208.jpg,Sazerac,5.55,"Ricard,Sugar,Water,Bourbon,Lemon peel,Peychaud bitters"
http://www.thecocktaildb.com/images/media/drink/dlw0om1503565021.jpg,National Aquarium,5.45,"Rum,Vodka,Blue Curacao,Sour mix,Lemon-lime soda,Gin"
http://www.thecocktaildb.com/images/media/drink/tqyrpw1439905311.jpg,Strawberry Margarita,6.00,"Strawberry schnapps,Tequila,Lemon juice,Strawberries,Salt,Triple sec"
http://www.thecocktaildb.com/images/media/drink/vtvutr1439465836.jpg,Brandy Cobbler,5.75,"Sugar,Club soda,Brandy,Maraschino cherry,Orange,Lemon"
http://www.thecocktaildb.com/images/media/drink/5vh9ld1504390683.jpg,Rum Cobbler,5.55,"Sugar,Club soda,Dark rum,Maraschino cherry,Orange,Lemon"
http://www.thecocktaildb.com/images/media/drink/uwtsst1441254025.jpg,Homemade Kahlua,8.74,"Sugar,Corn syrup,Vanilla extract,Water,Vodka,Coffee"
http://www.thecocktaildb.com/images/media/drink/ec2jtz1504350429.jpg,Manhattan,5.39,"Sweet Vermouth,Bourbon,Ice,Maraschino cherry,Orange peel,Angostura bitters"
http://www.thecocktaildb.com/images/media/drink/yfhn371504374246.jpg,Vampiro,6.21,"Tequila,Tomato Juice,Lime Juice,Sugar Syrup,Salt,Orange Juice"
http://www.thecocktaildb.com/images/media/drink/yz0j6z1504389461.jpg,Bloody Maria,7.20,"Tequila,Tomato juice,Tabasco sauce,Celery salt,Lemon,Lemon juice"
http://www.thecocktaildb.com/images/media/drink/ywxwqs1439906072.jpg,Long Island Tea,7.86,"Vodka,Light rum,Tequila,Lemon,Coca-Cola,Gin"
http://www.thecocktaildb.com/images/media/drink/wx7hsg1504370510.jpg,Long Island Iced Tea,9.60,"Vodka,Tequila,Gin,Coca-Cola,Lemon peel,Light rum"
http://www.thecocktaildb.com/images/media/drink/uyquuu1439906954.jpg,Bloody Mary,5.77,"Vodka,Tomato juice,Worcestershire sauce,Tabasco sauce,Lime,Lemon juice"
http://www.thecocktaildb.com/images/media/drink/qvrrvu1472667494.jpg,Coffee-Vodka,5.90,"Water,Sugar,Vanilla,Vodka,Caramel coloring,Coffee"
